RIVOLI;VOIE;MINIMUM_PAIR;MAXIMUM_PAIR;MINIMUM_IMPAIR;MAXIMUM_IMPAIR;NUM_BV;BUREAU_DE_VOTE
0279;ANEMONES (ALLEE DES);4;4;1;11;55;ECOLE PRIMAIRE GUY MOQUET
0282;ANGEVINIERE (RUE DE L');2;206;3;257;70;RESTAURANT SCOLAIRE BERTHE HUBERT
0284;ANJOU (PLACE D');;;;;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0285;ANJOU (RUE D');4;22;9;19;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
0286;ANKARA (RUE D');2;16;1;21;20;ECOLE PRIMAIRE DU VILLARET
0281;ANNA DE NOAILLES (RUE);2;10;1;11;34;RESTAURANT SCOLAIRE DU PLATEAU
5571;ANNA POLITKOVSKAIA (RUE);;;;;67;RESTAURANT SCOLAIRE JULES FERRY
5571;ANNA POLITKOVSKAIA (RUE);;;;;71;RESTAURANT SCOLAIRE BERTHE HUBERT
0283;ANTARES (AVENUE);2;2;;;60;RESTAURANT SCOLAIRE LOUIS BLERIOT
0287;ANTOINE BECQUEREL (RUE);2;12;1;11;70;RESTAURANT SCOLAIRE BERTHE HUBERT
0290;ANTOINE DE SAINT EXUPERY (RUE);12;18;7;25;27;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0288;ANTOINE ETEX (COUR);10;42;1;23;56;ECOLE PRIMAIRE GUY MOQUET
0293;ANTONIN MAGNE (RUE);8;16;9;23;64;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0295;AQUEDUC (RUE DE L');2;22;1;35;25;ECOLE PRIMAIRE CLAIREFONTAINE
0297;ARANDA (RUE D');4;10;3;9;19;ECOLE PRIMAIRE DU VILLARET
0298;ARCADES (PASSAGE DES);8;14;5;31;3;ECOLE MATERNELLE GENERAL GOUGEARD
0300;ARCHE (RUE DE L');2;16;1;31;27;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0305;ARCHE CHAUMARD (RUE DE L');2;28;1;19;78;ECOLE MATERNELLE MARIE CURIE
0310;ARCOLE (RUE D');4;4;1;43;3;ECOLE MATERNELLE GENERAL GOUGEARD
0310;ARCOLE (RUE D');;;45;53;4;ECOLE MATERNELLE GENERAL GOUGEARD
0312;ARDENNES (RUE DES);;;1;17;38;RESTAURANT SCOLAIRE SABLONNIERE
0314;ARDOISE (IMPASSE DE L');2A;2B;1;9;16;MAISON DE QUARTIER CHARLES TRENET
0315;ARDOISE (RUE DE L');2;74;1;147;26;ECOLE PRIMAIRE CLAIREFONTAINE
0315;ARDOISE (RUE DE L');76A;76B;;;16;MAISON DE QUARTIER CHARLES TRENET
0320;ARDRIERS (RUE DES);2;26;3;27;83;ECOLE PRIMAIRE ARDRIERS
0325;ARENES (RUE DES);2;24;1;25;12;ECOLE PRIMAIRE SUZANNE-BUSSON
0330;ARGONNE (RUE DE L');2;28;3;15;47;ECOLE MATERNELLE MAUBOUSSIN
0082;ARISTE JACQUES TROUVE CHAUVEL (ALLEE);2;18;1;19;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
